04-14 10:54:23.414 W/PackageManager(  861): Permission com.android.chrome.permission.DEBUG from package com.android.chrome in an unknown group android.permission-group.DEVELOPMENT_TOOLS
04-14 11:31:29.226 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbh [DEBUG] APs scanned 32: [[5060282BAC00 InfGuest -77 1460647889201ms], [506028363020 InfGuest -63 1460647889201ms], [506028363021 InfCorp -63 1460647889201ms], [506028363030 InfGuest -81 1460647889201ms], [506028363031 InfCorp -81 1460647889201ms], [84D47EDF63D0 Workable -84 1460647889201ms], [84D47EDF63D1 WorkableGuest -89 1460647889201ms], [84D47EDF63D2 WorkableTV -89 1460647889201ms], [84D47EDF67B0 Workable -84 1460647889201ms], [84D47EDF67B1 WorkableGuest -84 1460647889201ms], [84D47EDF8D71 WorkableGuest -91 1460647889201ms], [B8763F8C88CD HP-Print-CD-LaserJet 1102 -51 1460647889201ms], [E01C413B9414 SkyFi-Guest -81 1460647889201ms], [E01C413B9415 SkyFi-Corp -82 1460647889201ms], [E01C413B9428 SkyFi-Guest -88 1460647889201ms], [E01C413B9429 SkyFi-Corp -88 1460647889201ms], [E01C413BA794 SkyFi-Guest -58 1460647889201ms], [E01C413BA795 SkyFi-Corp -57 1460647889201ms], [E01C413BA7A8 SkyFi-Guest -70 1460647889201ms], [E01C413BA7A9 SkyFi-Corp -71 1460647889201ms], [E01C413BD514 SkyFi-Guest -53 1460647889201ms], [E01C413BD515 SkyFi-Corp -52 1460647889201ms], [E01C413BD528 SkyFi-Guest -69 1460647889201ms], [E01C413BD529 SkyFi-Corp -69 1460647889201ms], [E01C413BDCD4 SkyFi-Guest -62 1460647889201ms], [E01C413BDCD5 SkyFi-Corp -62 1460647889201ms], [E01C413BDCE8 SkyFi-Guest -70 1460647889201ms], [E01C413BDCE9 SkyFi-Corp -70 1460647889201ms], [E01C413BDF14 SkyFi-Guest -61 1460647889201ms], [E01C413BDF15 SkyFi-Corp -60 1460647889201ms], [E01C413BDF28 SkyFi-Guest -70 1460647889201ms], [E01C413BDF29 SkyFi-Corp -70 1460647889201ms]]
04-14 11:31:29.226 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbh [DEBUG] cells scanned 1: [[[lte,311,480,14380302,14339],-107,1460647888466ms]]
04-14 11:31:29.227 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbh [DEBUG] GPS location: null
04-14 11:31:29.228 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbh [DEBUG] unique APs scanned 32: [[5060282BAC00 InfGuest -77 1460647889201ms], [506028363020 InfGuest -63 1460647889201ms], [506028363021 InfCorp -63 1460647889201ms], [506028363030 InfGuest -81 1460647889201ms], [506028363031 InfCorp -81 1460647889201ms], [84D47EDF63D0 Workable -84 1460647889201ms], [84D47EDF63D1 WorkableGuest -89 1460647889201ms], [84D47EDF63D2 WorkableTV -89 1460647889201ms], [84D47EDF67B0 Workable -84 1460647889201ms], [84D47EDF67B1 WorkableGuest -84 1460647889201ms], [84D47EDF8D71 WorkableGuest -91 1460647889201ms], [B8763F8C88CD HP-Print-CD-LaserJet 1102 -51 1460647889201ms], [E01C413B9414 SkyFi-Guest -81 1460647889201ms], [E01C413B9415 SkyFi-Corp -82 1460647889201ms], [E01C413B9428 SkyFi-Guest -88 1460647889201ms], [E01C413B9429 SkyFi-Corp -88 1460647889201ms], [E01C413BA794 SkyFi-Guest -58 1460647889201ms], [E01C413BA795 SkyFi-Corp -57 1460647889201ms], [E01C413BA7A8 SkyFi-Guest -70 1460647889201ms], [E01C413BA7A9 SkyFi-Corp -71 1460647889201ms], [E01C413BD514 SkyFi-Guest -53 1460647889201ms], [E01C413BD515 SkyFi-Corp -52 1460647889201ms], [E01C413BD528 SkyFi-Guest -69 1460647889201ms], [E01C413BD529 SkyFi-Corp -69 1460647889201ms], [E01C413BDCD4 SkyFi-Guest -62 1460647889201ms], [E01C413BDCD5 SkyFi-Corp -62 1460647889201ms], [E01C413BDCE8 SkyFi-Guest -70 1460647889201ms], [E01C413BDCE9 SkyFi-Corp -70 1460647889201ms], [E01C413BDF14 SkyFi-Guest -61 1460647889201ms], [E01C413BDF15 SkyFi-Corp -60 1460647889201ms], [E01C413BDF28 SkyFi-Guest -70 1460647889201ms], [E01C413BDF29 SkyFi-Corp -70 1460647889201ms]]
04-14 11:31:29.228 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbh [DEBUG] unique cells scanned 1: [[[lte,311,480,14380302,14339],-107,1460647888466ms]]
04-14 11:31:29.230 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache hit (hit rate: 29/37, 78.38%)
04-14 11:31:29.230 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkil [DEBUG] Wi-Fi connection state was updated from true to true
04-14 11:31:29.230 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkil [DEBUG] we are in tracking mode, time to next cell window is 9223372036854775807ms
04-14 11:31:29.230 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkil [DEBUG] disallow cell sample because 9223372036854775807ms until start of cell window
04-14 11:31:29.230 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdknn [DEBUG] read preference[WifiSlidingWindow]: null
