venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: DAS Premium WiFi, BSSID: d4:68:4d:27:4f:cc, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5745, timestamp: 180839239720, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: CBCI-8F3A-5, BSSID: 20:25:64:fb:83:70, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -90, frequency: 5765, timestamp: 180839239727, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5745, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: Vertex Public, BSSID: b4:75:0e:67:a3:c0, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -90, frequency: 5180, timestamp: 180839239705, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: imwireless, BSSID: 8c:b6:4f:c9:a7:2f, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 5785, timestamp: 180839239729, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: imguests, BSSID: a4:56:30:e9:60:ce, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 5745, timestamp: 180839239713, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: NPSF, BSSID: 00:26:f1:16:94:d0, capabilities: [WEP][ESS], level: -84, frequency: 2447, timestamp: 180839239681, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: Technionconf, BSSID: 20:aa:4b:4c:95:4f, capabilities: [WEP][ESS], level: -84, frequency: 2412, timestamp: 180839239666, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: xfinitywifi, BSSID: 60:02:92:79:b1:e2, capabilities: [ESS], level: -80, frequency: 5240, timestamp: 180839239709, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: xfinitywifi, BSSID: 60:02:92:7a:b7:82, capabilities: [ESS], level: -77, frequency: 2462, timestamp: 180839239692, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: MMGuest, BSSID: 88:75:56:4c:4a:a0, capabilities: [ESS], level: -78, frequency: 2462, timestamp: 180839239700, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: HP89ECA1, BSSID: 02:26:c6:57:c5:1a, capabilities: [IBSS], level: -74, frequency: 2457, timestamp: 180839239687, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: Greenway, BSSID: d4:68:4d:67:4f:cc, capabilities: [ESS], level: -87, frequency: 5745, timestamp: 180839239722, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, SSID: HP77E14F, BSSID: 02:21:a1:c3:eb:be, capabilities: [IBSS], level: -90, frequency: 2457, timestamp: 180839239683, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, CellInfoLte:{mRegistered=YES mTimeStampType=oem_ril mTimeStamp=111925000472683ns CellIdentityLte:{ mMcc=310 mMnc=410 mCi=15938826 mPci=236 mTac=1042} CellSignalStrengthLte: ss=29 rsrp=-89 rsrq=-14 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, CellInfoLte:{mRegistered=NO mTimeStampType=oem_ril mTimeStamp=111925000472683ns CellIdentityLte:{ mMcc=2147483647 mMnc=2147483647 mCi=2147483647 mPci=234 mTac=2147483647} CellSignalStrengthLte: ss=25 rsrp=-89 rsrq=-16 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 2, null, CellInfoLte:{mRegistered=NO mTimeStampType=oem_ril mTimeStamp=111925000472683ns CellIdentityLte:{ mMcc=2147483647 mMnc=2147483647 mCi=2147483647 mPci=28 mTac=2147483647} CellSignalStrengthLte: ss=25 rsrp=-96 rsrq=-20 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: hpsetup, BSSID: 66:2a:2f:53:7c:99, capabilities: [IBSS], level: -76, frequency: 2462, timestamp: 180823724159, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: CBCI-AA09-2.4, BSSID: 60:02:92:7a:b7:80, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -75, frequency: 2462, timestamp: 180839239689, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: , BSSID: aa:54:b2:00:07:f2, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -77, frequency: 5180, timestamp: 180823724173, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: AV1, BSSID: b4:75:0e:67:b0:eb, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -57, frequency: 2427, timestamp: 180839239675, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: ORI-TEST, BSSID: 94:b4:0f:3f:a9:81, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2462, timestamp: 180823724166, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: ORI, BSSID: 94:b4:0f:3f:a9:80, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2462, timestamp: 180823724163, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: HP-Print-54-Officejet Pro 8630, BSSID: 94:57:a5:9f:97:54, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2462, timestamp: 180823724152, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: CTP-Internal, BSSID: 00:0c:e6:02:b1:2b, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2462, timestamp: 180823724156, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: Nordic24, BSSID: b4:75:0e:3c:90:08, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -70, frequency: 2427, timestamp: 180839239677, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: imguests, BSSID: 8c:b6:4f:c9:a7:2e, capabilities: [WPA2-PSK-CCMP][ESS], level: -85, frequency: 5785, timestamp: 180839239732, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: Metro, BSSID: 48:f8:b3:30:85:ee, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 2462, timestamp: 180839239694, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: ORI, BSSID: 94:b4:0f:3f:6d:a0, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180823724123, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP Corporate, BSSID: 00:19:92:38:30:21, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180823724134, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: ORI-TEST, BSSID: 94:b4:0f:3f:6d:a1, capabilities: [WPA2-PSK-CCMP][ESS], level: -75, frequency: 2412, timestamp: 180839239671, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP Visitor, BSSID: 00:19:92:31:05:42, capabilities: [WPA2-PSK-CCMP][ESS], level: -83, frequency: 2412, timestamp: 180823724131, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: CBCI-87DE-5, BSSID: d8:97:ba:23:28:80, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -89, frequency: 5805, timestamp: 180823724188, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: MWG-Intranet, BSSID: f8:4f:57:07:bf:11, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS], level: -87, frequency: 2442, timestamp: 180823724148, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: MMGuest, BSSID: 88:75:56:4c:4a:af, capabilities: [ESS], level: -76, frequency: 5805, timestamp: 180823724184, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: xfinitywifi, BSSID: 20:25:64:fb:83:72, capabilities: [ESS], level: -91, frequency: 5765, timestamp: 180823724177, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5745, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: HP-Print-04-LaserJet 1102, BSSID: 0c:84:dc:41:24:04, capabilities: [ESS], level: -85, frequency: 2412, timestamp: 180823724137, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: PWNIE_Express_2.412Ghz, BSSID: 14:cc:20:42:42:f4, capabilities: [WPA2-PSK-CCMP][ESS], level: -76, frequency: 2457, timestamp: 180839239685, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP Visitor, BSSID: 00:19:92:31:0d:62, capabilities: [WPA2-PSK-CCMP][ESS], level: -77, frequency: 2437, timestamp: 180839239679, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP_Corprorate, BSSID: 00:19:92:30:c7:63, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 2462, timestamp: 180839239696, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: CBCI-AA09-5, BSSID: 60:02:92:79:b1:e0, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -83, frequency: 5240, timestamp: 180839239707, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: MSCBA, BSSID: 80:ea:96:ed:c6:21, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 5745, timestamp: 180839239718, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP Corporate, BSSID: 00:19:92:30:c7:e1, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2462, timestamp: 180839239698, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP_Corprorate, BSSID: 00:19:92:30:e6:03, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2412, timestamp: 180839239669, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP Visitor, BSSID: 00:19:92:38:30:22, capabilities: [WPA2-PSK-CCMP][ESS], level: -81, frequency: 2412, timestamp: 180839239662, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: AV1, BSSID: b4:75:0e:67:b0:ec, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -85, frequency: 5180, timestamp: 180839239702, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: MSCBA Guest, BSSID: 82:21:c6:ed:96:e0, capabilities: [WPA2-PSK-CCMP][ESS], level: -85, frequency: 5745, timestamp: 180839239716, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NHP_Corprorate, BSSID: 00:19:92:37:3f:83, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180839239664, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: GEOADAPTIVE, BSSID: 40:16:7e:59:9e:cc, capabilities: [WPA2-PSK-CCMP][ESS], level: -86, frequency: 5745, timestamp: 180839239711, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: RBM, BSSID: 00:18:0a:f0:9c:90, capabilities: [WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -83, frequency: 2422, timestamp: 180839239673, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: , BSSID: d4:68:4d:a7:4f:c7, capabilities: [WPA2-PSK-CCMP][ESS], level: -87, frequency: 5745, timestamp: 180839239725, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: DAS Premium WiFi, BSSID: d4:68:4d:27:4f:cc, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5745, timestamp: 180839239720, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: CBCI-8F3A-5, BSSID: 20:25:64:fb:83:70, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -90, frequency: 5765, timestamp: 180839239727, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5745, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: Vertex Public, BSSID: b4:75:0e:67:a3:c0, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -90, frequency: 5180, timestamp: 180839239705, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: imwireless, BSSID: 8c:b6:4f:c9:a7:2f, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 5785, timestamp: 180839239729, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: imguests, BSSID: a4:56:30:e9:60:ce, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 5745, timestamp: 180839239713, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: NPSF, BSSID: 00:26:f1:16:94:d0, capabilities: [WEP][ESS], level: -84, frequency: 2447, timestamp: 180839239681, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: Technionconf, BSSID: 20:aa:4b:4c:95:4f, capabilities: [WEP][ESS], level: -84, frequency: 2412, timestamp: 180839239666, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: xfinitywifi, BSSID: 60:02:92:79:b1:e2, capabilities: [ESS], level: -80, frequency: 5240, timestamp: 180839239709, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: xfinitywifi, BSSID: 60:02:92:7a:b7:82, capabilities: [ESS], level: -77, frequency: 2462, timestamp: 180839239692, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: MMGuest, BSSID: 88:75:56:4c:4a:a0, capabilities: [ESS], level: -78, frequency: 2462, timestamp: 180839239700, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: HP89ECA1, BSSID: 02:26:c6:57:c5:1a, capabilities: [IBSS], level: -74, frequency: 2457, timestamp: 180839239687, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: Greenway, BSSID: d4:68:4d:67:4f:cc, capabilities: [ESS], level: -87, frequency: 5745, timestamp: 180839239722, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, SSID: HP77E14F, BSSID: 02:21:a1:c3:eb:be, capabilities: [IBSS], level: -90, frequency: 2457, timestamp: 180839239683, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, CellInfoLte:{mRegistered=YES mTimeStampType=oem_ril mTimeStamp=111930117671900ns CellIdentityLte:{ mMcc=310 mMnc=410 mCi=15938826 mPci=236 mTac=1042} CellSignalStrengthLte: ss=28 rsrp=-88 rsrq=-14 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 3, null, CellInfoLte:{mRegistered=NO mTimeStampType=oem_ril mTimeStamp=111930117671900ns CellIdentityLte:{ mMcc=2147483647 mMnc=2147483647 mCi=2147483647 mPci=234 mTac=2147483647} CellSignalStrengthLte: ss=24 rsrp=-89 rsrq=-15 rssnr=2147483647 cqi=2147483647 ta=2147483647}
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 4, null, SSID: CBCI-AA09-2.4, BSSID: 60:02:92:7a:b7:80, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -75, frequency: 2462, timestamp: 180839239689, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 4, null, SSID: , BSSID: aa:54:b2:00:07:f2, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -79, frequency: 5180, timestamp: 180854247942, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 4, null, SSID: AV1, BSSID: b4:75:0e:67:b0:eb, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -55, frequency: 2427, timestamp: 180854247893, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 4, null, SSID: ORI-TEST, BSSID: 94:b4:0f:3f:a9:81, capabilities: [WPA2-PSK-CCMP][ESS], level: -68, frequency: 2462, timestamp: 180854247926, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
